City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,mumbwa,-14.9783,27.0619,68.2,72,12,4.68,ZM,1730763460
237,aswan,24.0934,32.907,67.19,48,0,8.48,EG,1730763461
238,linxia chengguanzhen,35.6003,103.2064,38.61,70,0,1.41,CN,1730763462
239,lukolela,-1.0605,17.1821,68.68,98,84,1.86,CD,1730763463
240,baker city,44.7749,-117.8344,38.91,81,75,16.11,US,1730763464
241,sharm el-sheikh,27.8518,34.305,73.54,43,0,4.61,EG,1730763465
242,pobugskoye,48.1658,30.5927,34.47,66,6,12.53,UA,1730763467
243,bechar,31.6167,-2.2167,61.12,55,100,2.3,DZ,1730763468
244,bilajer,40.5681,50.0378,51.62,76,0,20.71,AZ,1730763469
245,taro,-8.3862,115.28,74.3,82,59,2.33,ID,1730763470
246,zuenoula,7.4292,-6.0431,74.79,78,58,1.21,CI,1730763471
247,beaudesert,-27.9833,152.9833,84.74,42,31,6.02,AU,1730763472
248,yuxia,34.0615,108.6291,55.42,64,9,1.52,CN,1730763473
249,sakaiminato,35.55,133.2333,62.58,94,75,18.41,JP,1730763474
250,guerrero negro,27.9769,-114.0611,72.39,31,0,16.08,MX,1730763475
251,qaqortoq,60.7167,-46.0333,13.15,83,20,7.83,GL,1730763221
252,fatezh,52.0891,35.8632,26.91,85,100,13.49,RU,1730763478
253,cuenca,-2.8833,-78.9833,62.73,45,75,6.91,EC,1730763252
254,kaa-khem,51.6833,94.7333,26.42,73,84,3.33,RU,1730763480
255,gadzhiyevo,69.2551,33.3362,29.08,92,79,19.66,RU,1730763276
256,punta arenas,-53.15,-70.9167,48.31,61,75,21.85,CL,1730763156
257,crucecita,-28.95,-58.9833,71.15,89,94,18.34,AR,1730763483
258,weno,7.4515,151.8468,87.75,79,40,8.05,FM,1730763484
259,wuwei,37.9281,102.6414,38.77,47,0,1.43,CN,1730763485
260,san julian,21.0167,-102.1667,66.99,42,0,9.78,MX,1730763487
261,mount pearl,47.5166,-52.7813,35.15,67,100,12.66,CA,1730763488
262,chui,-33.6971,-53.4616,67.06,92,100,9.01,UY,1730763489
263,muana,-1.5283,-49.2167,80.69,67,77,8.43,BR,1730763490
264,chul'man,56.8479,124.9104,1.9,96,100,2.89,RU,1730763491
265,chibougamau,49.9168,-74.3659,33.42,93,100,12.66,CA,1730763492
266,abepura,-2.6333,140.5833,83.21,74,20,6.91,ID,1730763493
267,coaldale,49.7167,-112.6185,47.39,49,75,13.8,CA,1730763304
268,kapa'a,22.0752,-159.319,84.52,76,20,12.66,US,1730763496
269,mwatate,-3.5029,38.3795,67.78,88,54,3.49,KE,1730763497
270,klyuchi,52.2667,79.1667,32.95,68,100,5.73,RU,1730763134
271,derazhnya,49.2692,27.4338,30.45,73,8,6.62,UA,1730763499
272,rabo de peixe,37.8,-25.5833,69.31,99,75,17.27,PT,1730763500
273,val-d'or,48.1002,-77.7828,37.49,93,100,18.41,CA,1730763501
274,nemuro,43.3236,145.575,46.24,65,23,19.69,JP,1730763332
275,christchurch,-43.5333,172.6333,66.4,72,75,14.97,NZ,1730763240
276,puerto baquerizo moreno,-0.9,-89.6,68.07,72,82,12.17,EC,1730763100
277,naryn,41.4287,75.9911,38.66,43,100,6.6,KG,1730763506
278,afaahiti,-17.75,-149.2833,77.31,83,97,9.33,PF,1730763324
279,sinan,34.8262,126.1086,55.62,57,100,22.82,KR,1730763508
280,tahe,52.3333,124.7333,7.07,87,12,3.4,CN,1730763509
281,nova sintra,14.8667,-24.7167,80.38,76,78,6.26,CV,1730763088
282,kibre mengist,5.8833,38.9833,59.34,94,91,1.9,ET,1730763511
283,richards bay,-28.783,32.0377,66.51,84,99,14.32,ZA,1730763512
284,znamenskoye,57.1281,73.8282,29.05,70,75,14.12,RU,1730763513
285,rio preto da eva,-2.6994,-59.6997,83.89,58,73,1.28,BR,1730763514
286,punta del este,-34.9667,-54.95,64.51,94,75,10.36,UY,1730763517
287,san antonio de pale,-1.4014,5.6325,77.68,83,100,12.35,GQ,1730763328
288,qamdo,31.1667,97.2333,30.33,82,96,4.16,CN,1730763519
289,lorengau,-2.0226,147.2712,85.5,66,96,1.61,PG,1730763520
290,opuwo,-18.0607,13.84,69.76,28,80,2.28,NA,1730763521
291,tura,25.5198,90.2201,69.87,79,33,4.09,IN,1730763352
292,maxixe,-23.8597,35.3472,72.55,87,1,7.63,MZ,1730763523
293,kristiansund,63.1115,7.732,52.12,87,100,6.91,NO,1730763524
294,maturin,9.75,-63.1767,76.84,100,79,5.75,VE,1730763272
295,ulladulla,-35.35,150.4667,63.84,69,100,4.09,AU,1730763344
296,st. john's,47.5649,-52.7093,35.98,67,100,12.66,CA,1730763528
297,aleksandrovsk,59.158,57.5624,19.08,97,100,3.33,RU,1730763529
298,selfoss,63.9331,-20.9971,47.41,98,100,11.36,IS,1730763530
299,ibiza,38.9088,1.433,67.93,94,75,3.44,ES,1730763179
300,enewetak,11.3474,162.3373,81.09,82,99,11.25,MH,1730763215
301,zhaotong,27.3167,103.7167,49.23,93,100,3.6,CN,1730763405
302,vila velha,-20.3297,-40.2925,76.95,89,100,6.91,BR,1730763534
303,victoria,22.2855,114.1577,77.25,71,95,5.99,HK,1730763386
304,shubarshi,48.5872,57.1869,33.91,59,100,12.95,KZ,1730763537
305,okha,53.5739,142.9478,30.4,80,86,18.25,RU,1730763538
306,marksville,31.128,-92.0662,79.86,68,35,11.41,US,1730763539
307,tual,-5.6667,132.75,82.0,78,100,14.38,ID,1730763381
308,miquelon,47.0975,-56.3814,39.34,61,86,19.26,PM,1730763428
309,dunedin,-45.8742,170.5036,57.79,80,84,6.76,NZ,1730763542
310,superior,46.7208,-92.1041,52.77,79,100,12.66,US,1730763543
311,ketchikan,55.3422,-131.6461,47.34,66,20,9.22,US,1730763544
312,leninskoye,41.7589,69.3864,56.95,81,100,1.68,KZ,1730763546
313,chegdomyn,51.1167,133.0167,22.51,90,100,1.61,RU,1730763547
314,kingston,17.997,-76.7936,77.95,89,75,10.36,JM,1730763254
315,tolanaro,-25.0319,46.9987,75.27,88,20,20.71,MG,1730763549
316,nuuk,64.1835,-51.7216,27.21,86,100,5.75,GL,1730763233
317,sao vicente,-23.9631,-46.3919,74.95,26,100,5.01,BR,1730763551
318,paracuru,-3.41,-39.0306,77.83,81,26,13.87,BR,1730763552
319,leava,-14.3,-178.1667,81.21,78,61,11.56,WF,1730763553
320,antsiranana,-12.2787,49.2917,75.92,83,4,12.3,MG,1730763554
321,nacala,-14.5428,40.6728,75.88,88,1,6.49,MZ,1730763556
322,san rafael del yuma,18.4299,-68.6739,77.2,86,100,4.29,DO,1730763557
323,olonets,60.9847,32.9698,27.37,84,14,6.44,RU,1730763558
324,pasan,22.85,82.2,60.73,73,0,1.21,IN,1730763559
325,yelizovo,53.1873,158.3805,23.14,63,20,8.95,RU,1730763560
326,saipan,15.1355,145.701,88.5,77,40,18.41,MP,1730763107
327,arraial do cabo,-22.9661,-42.0278,75.16,94,100,11.5,BR,1730763347
328,tralee,52.2704,-9.7026,50.85,94,90,7.54,IE,1730763563
329,crane,31.3974,-102.3501,64.36,15,87,22.84,US,1730763147
330,sisimiut,66.9395,-53.6735,19.71,85,75,7.94,GL,1730763566
331,pacific grove,36.6177,-121.9166,66.38,73,0,10.36,US,1730763567
332,luderitz,-26.6481,15.1594,55.47,48,16,26.51,NA,1730763219
333,cabedelo,-6.9811,-34.8339,79.47,74,15,11.23,BR,1730763570
334,changji,44.0167,87.3167,39.99,87,57,4.47,CN,1730763571
335,garbahaarrey,3.3289,42.2209,77.76,76,76,10.96,SO,1730763572
336,huangmei,30.1924,116.025,61.38,64,67,8.05,CN,1730763573
337,bonthe,7.5264,-12.505,78.91,86,100,2.48,SL,1730763092
338,nabire,-3.3667,135.4833,77.85,86,100,3.53,ID,1730763576
339,bengkulu,-3.8004,102.2655,77.23,82,100,2.91,ID,1730763577
340,tuncurry,-32.1667,152.5,66.74,92,99,10.29,AU,1730763578
341,at taj,24.2049,23.2857,59.86,49,0,8.41,LY,1730763579
342,tolbazy,54.0241,55.8825,27.12,90,100,9.31,RU,1730763580
343,hammerfest,70.6634,23.6821,36.05,75,100,0.0,NO,1730763237
344,rabaul,-4.1967,152.1721,83.32,69,91,3.6,PG,1730763582
345,quang ngai,15.1167,108.8,73.67,97,98,4.16,VN,1730763583
346,kayes,14.0,-11.0,81.86,24,3,4.0,ML,1730763585
347,dakhla,23.6848,-15.958,67.53,86,100,12.17,EH,1730763586
348,kismayo,-0.3582,42.5454,78.66,86,80,7.74,SO,1730763587
349,isna,25.2934,32.554,67.82,48,0,7.2,EG,1730763588
350,aasiaat,68.7098,-52.8699,18.34,94,100,2.28,GL,1730763089
351,ghat,24.9647,10.1728,67.77,33,0,3.91,LY,1730763590
352,santa cruz,-17.8,-63.1667,84.25,70,41,10.36,BO,1730763412
353,nouadhibou,20.931,-17.0347,69.78,73,91,13.8,MR,1730763226
354,turkmenbasy,40.0222,52.9552,50.77,93,75,9.22,TM,1730763593
355,garissa,-0.4536,39.6401,78.67,75,95,10.2,KE,1730763595
356,bandarbeyla,9.4942,50.8122,77.16,87,22,5.5,SO,1730763596
357,mukalla,14.5425,49.1242,79.16,75,0,6.24,YE,1730763597
358,ormara,25.2088,64.6357,79.03,79,0,1.63,PK,1730763598
359,yuzhno-kurilsk,44.0306,145.8556,43.92,75,100,13.35,RU,1730763599
360,hasaki,35.7333,140.8333,68.49,71,91,19.82,JP,1730763600
361,zamora,-4.0692,-78.9567,75.42,67,100,3.62,EC,1730763601
362,diboll,31.1871,-94.781,79.09,78,75,13.8,US,1730763602
363,hirara,24.8,125.2833,80.46,78,40,12.66,JP,1730763174
